name,hourly rate,title,location 
Mitchell W.,"$55.00
/hr","Experienced Data Analyst, Statistical Programmer, Automation Specialty",Germany
Nikki M.,"$22.00
/hr",Quantitative Analyst,United States
Anton R.,"$25.00
/hr",Business Analyst,Russia
Binu J.,"$10.00
/hr",Financial Analyst/Data Analyst,India
Nathan A.,"$30.00
/hr",Data Analyst,United States
Adrian A.,"$4.00
/hr",Quality Analyst,Philippines
Christyl A.,"$12.00
/hr",Billing Analyst,Philippines
Clodimer O.,"$6.00
/hr",Data Analyst,Philippines
Lida A.,"$15.00
/hr",Data Analyst,Armenia
AIZA B.,"$10.60
/hr","Expert Researcher, Virtual Assistant, Personal/Executive Assistant",Philippines
Dina D.,"$30.00
/hr",SEM Ppc analyst,Serbia
M K.,"$10.00
/hr","Research QualityAnalyst, Linkedin, Web Researcher, CRM, Lead Generator",Pakistan
Noor K.,"$10.00
/hr",Software Engineer with Certified Business Intelligence & DWH Analyst,Pakistan
Elsie S.,"$10.00
/hr",Business Analyst,Philippines
Amit J.,"$35.00
/hr",Data Analyst,France
Mary Antonette Dela C.,"$10.00
/hr",Data Analyst,Philippines
Vrushali A.,"$24.00
/hr",Data Analyst/BI Analyst,India
Samuel A.,"$15.00
/hr",Data Analyst,Kenya
Paul R.,"$25.00
/hr",Data Analyst,United States
Eva K.,"$35.00
/hr",Insight Analyst,United States
Wilfredo Jr P.,"$10.00
/hr",Financial Analyst,Philippines
Sagar P.,"$60.00
/hr","Data/Business Analyst|Python,R|SQL|Machine Learning|Tableau",India
Ricky A.,"$8.00
/hr","Data Analyst, Monetization Specialist, Designer, Indonesian Translator",Indonesia
Mary Grace S.,"$9.00
/hr",Data Analyst | Researcher | Interior Designer,Philippines
M K.,"$10.00
/hr","Research QualityAnalyst, Linkedin, Web Researcher, CRM, Lead Generator",Pakistan
Noor K.,"$10.00
/hr",Software Engineer with Certified Business Intelligence & DWH Analyst,Pakistan
Elsie S.,"$10.00
/hr",Business Analyst,Philippines
Amit J.,"$35.00
/hr",Data Analyst,France
Samuel A.,"$15.00
/hr",Data Analyst,Kenya
Paul R.,"$25.00
/hr",Data Analyst,United States
Eva K.,"$35.00
/hr",Insight Analyst,United States
Muhammad Okky M.,"$10.00
/hr",GIS Analyst,Indonesia
Christyl A.,"$12.00
/hr",Billing Analyst,Philippines
Clodimer O.,"$6.00
/hr",Data Analyst,Philippines
John Mark A.,"$4.00
/hr",Research Analyst,Philippines
Lida A.,"$15.00
/hr",Data Analyst,Armenia
Russel U.,"$5.00
/hr",Financial Analyst,Philippines
Kire M.,"$8.00
/hr",Data Analyst,Macedonia
Nika M.,"$15.00
/hr",Data Scientist | Machine Learning Specialist | Web Scraping Expert,Georgia
Geetha N.,"$45.00
/hr",Data Analyst / Tableau Developer,United States
Angeli G.,"$5.00
/hr","Expert in Admin Tasks, Microsoft & Data Analysis/Research/Entry",Philippines
Diane Joy S.,"$5.00
/hr",Report Analyst and Telemarketer,Philippines
Ryan H.,"$28.00
/hr",Data Analyst | Writer,United States
Dina D.,"$30.00
/hr",SEM Ppc analyst,Serbia
Angelica Y.,"$20.00
/hr",Customer Service Associate and Quality Assurance Analyst,Philippines
francine n.,"$10.00
/hr",workforce analyst/ pharmacist/ cust care executive,Philippines
Saad T.,"$10.00
/hr","Top Loss Prevention Analyst (33,300+ Hours Experience)",Pakistan
Mafe E.,"$5.00
/hr",Professional Data Entry Analyst,Philippines
Arlene M.,"$8.00
/hr",Business Analyst/ Social Media Manager/ VA,Philippines
Jayson M.,"$6.00
/hr","Data Entry Expert - Excel, Google Sheet | Administrative Support | VA",Philippines
Naman R.,"$30.00
/hr","Algorithmic Trading, Data Science and Financial Analyst",India
Tomas L.,"$45.00
/hr","Expert Data Analyst with experience in Excel VBA, SQL, Python and AI",Argentina
Evgeniy S.,"$90.00
/hr",Web Analytic | Data Engineer | Data Analyst | Full Stack Developer,Russia
Andrea F.,"$60.00
/hr",Data Analyst - MySql - Excel - Google Sheets GAS-Rest API,Italy
Daniel F.,"$150.00
/hr",Financial Analyst / Software Developer,United Kingdom
Ajit C.,"$40.00
/hr",Data Scientist| Data Analyst,Australia
Arrian A.,"$50.00
/hr",Lead Technical Data Analyst,Philippines
Mayank P.,"$37.50
/hr",Financial Modelling & Analyst,Australia
Alexandru Costel F.,"$50.00
/hr",GIS Specialist/Data Analyst,Romania
Mirna R.,"$40.00
/hr","Market research analyst, data analyst, chef, recipe developer",United States
Guy H.,"$65.00
/hr",Excel Developer and Analyst,Chile
Pamela M.,"$60.00
/hr",Data Analyst/ Excel expert,Netherlands
Pavlos K.,"$40.00
/hr",Professional Statistical Analyst / Mathematician,Greece
Ghazal A.,"$8.00
/hr",Expert Data Analyst,Philippines
Emil M.,"$12.00
/hr",Social Media Analyst - Reports Analyst,Philippines
Jonathan M.,"$15.00
/hr",EXCELerator,Philippines
Charlotte A.,"$3.00
/hr","DataEntryClerk,WebResearcher,VA,DataAnalyst,PersonalAssistant...",Philippines
Marvin B.,"$10.00
/hr",Amazon Product Researcher | Data Quality Analyst | IT Helpdesk,Philippines
Lester B.,"$15.00
/hr",Data Analyst|Data Mining|Web Researcher Expert|Data Entry Specialist,Philippines
Glenn Michael C.,"$6.25
/hr","Data Analyst, Data Entry, Web Search, Data Mining, Photoshop Editing",Philippines
Niño B.,"$3.75
/hr",Data entry /Data analyst and Web researcher/Lead Generation Specialist,Philippines
Erlyn B.,"$7.00
/hr",Zendesk/Data Entry/Social Media/QA Analyst/Six Sigma Certified,Philippines
Maricel G.,"$7.50
/hr",Lead Researcher,Philippines
Tasmia A.,"$5.00
/hr","Data Entry, Web Research, Data Mining, Lead Generation, PDf Expert",Bangladesh
Andrew P.,"$150.00
/hr","Management Consultant, Software Engineer & Quantitative Analyst",United States
Terrence C.,"$25.00
/hr",Statistical Consultant | Data Analyst | Researcher,United States
Shaylin M.,"$20.00
/hr","Experienced GIS Tech, Data Analyst, and Teacher",United States
Ray Niel M.,"$8.00
/hr",Software Data Analyst | Technical Support Expert,Philippines
Ricky A.,"$8.00
/hr","Data Analyst, Monetization Specialist, Designer, Indonesian Translator",Indonesia
Helina D.,"$65.00
/hr",BI Developer / Power BI Developer / Data Analyst,United States
Graciella M.,"$4.00
/hr","Virtual assistant, Data analyst, Programmer, Researcher, etc.",Philippines
Kashif D.,"$15.00
/hr","Real Estate Researcher, Analyst and Skip Tracer",Pakistan
Mary Grace S.,"$9.00
/hr",Data Analyst | Researcher | Interior Designer,Philippines
Tharindu Thiwanka De S.,"$36.50
/hr",Data Analyst | Full Stack Software Engineer,Sri Lanka
Angelica A.,"$20.00
/hr",Product & Project Manager | Business Analyst,Philippines
Sadaf I.,"$20.00
/hr","Expert Graphic Designer, Illustrator & Data Analyst",Pakistan
Artem L.,"$30.00
/hr",Data Analyst | Excel | Google Sheets,Russia
Ashish S.,"$7.50
/hr",Expert Lead Generator and Data Entry Analyst.,Malaysia
Jahangir A.,"$28.00
/hr",Data Engineer/ Data Analyst / Python Script Writer,Bangladesh
Ronald Jay De L.,"$4.00
/hr",Compliance and Fraud Analyst/ Customer Success Specialist,Philippines
Catherine A.,"$10.00
/hr",Fraud Analyst / Team Leader / Customer Service Associate,Philippines
Anna Kristina M.,"$7.00
/hr",VA / Customer Service / Claims Analyst / Data Entry,Philippines
Muhammad Asif K.,"$8.00
/hr","Web Manager , Data Analyst, Excel Expert, Transcriptionist",Pakistan
Lars N.,"$30.00
/hr",Digital Business Analyst (Google Analytics & SEO),Sweden
Abdelmoamen E.,"$40.00
/hr",Data Scientist | Data Analyst | Statistician,Turkey
Kristina N.,"$25.00
/hr","Data Entry Professional, Data Analyst & Researcher",Armenia
Cony Marie P.,"$11.00
/hr",Expert VA with wide experience in Credit Analysis and Credit Repair,Philippines
Collin S.,"$21.00
/hr",Data Analyst,United States
Drishtant G.,"$25.00
/hr",Data Analyst,United States
Stephen M.,"$20.00
/hr",Data Analyst,United States
Ravikant B.,"$4.00
/hr",Data Analyst,India
Jose Anthony G.,"$7.55
/hr",Data Analyst,Philippines
Alarise C.,"$4.00
/hr",Data Analyst,Philippines
Chelsea C.,"$30.00
/hr",Data Analyst,United States
Sedar S.,"$50.00
/hr",Data Analyst,United States
Kanning W.,"$7.25
/hr",Data Analyst,United States
Allen S.,"$35.50
/hr",Data Analyst,United States
Max K.,"$60.00
/hr",Google Ads | Google Analytics 4 | Google Tag Manager | Data Analyst,Russia
Jefferson C.,"$15.00
/hr",Chargeback Analyst I Fraud Analyst I Financial Risk Management,Philippines
Amartya S.,"$30.00
/hr",Research Analyst| Data Analyst| SMM | Scribe| Other Engineering,Bangladesh
Rene Van D.,"$70.00
/hr",Experienced data professional,Netherlands
Bridget K.,"$50.00
/hr",Business Analyst with over 15 years of experience.,United States
Alma A.,"$3.00
/hr",Quality Research Analyst,Philippines
Mohamed I.,"$15.00
/hr",Data Visualization Expert | Power BI | Google Data Studio | Tableau,Egypt
Pooja P.,"$20.00
/hr","Research and SalesForce Consultant, Data Analyst",India
Sunil G.,"$30.00
/hr",Technical Architect / Data Analyst,India
Yanique C.,"$10.00
/hr",Account Receivables Clerk/Collections Analyst/Admin Assistant,Jamaica
Madhuri G.,"$15.00
/hr",Product Manager | Research | UX | Website Development | Analyst,India
Arta S.,"$15.00
/hr",Researcher Data Analyst,Albania
Phoebe Kaye A.,"$3.89
/hr","Data Analyst, and Customer Service (Email and Chat)",Philippines
Xiaobo X.,"$40.00
/hr",Business Intelligence & Analytics Expert,New Zealand
Nabina P.,"$5.00
/hr","Data analyst, Data entry and excel expert, Writer",Nepal
Bridget K.,"$50.00
/hr",Business Analyst with over 15 years of experience.,United States
Alma A.,"$3.00
/hr",Quality Research Analyst,Philippines
Mohamed I.,"$15.00
/hr",Data Visualization Expert | Power BI | Google Data Studio | Tableau,Egypt
Sunil G.,"$30.00
/hr",Technical Architect / Data Analyst,India
Yanique C.,"$10.00
/hr",Account Receivables Clerk/Collections Analyst/Admin Assistant,Jamaica
Madhuri G.,"$15.00
/hr",Product Manager | Research | UX | Website Development | Analyst,India
Arta S.,"$15.00
/hr",Researcher Data Analyst,Albania
Phoebe Kaye A.,"$3.89
/hr","Data Analyst, and Customer Service (Email and Chat)",Philippines
Xiaobo X.,"$40.00
/hr",Business Intelligence & Analytics Expert,New Zealand
Okky M.,"$15.00
/hr",Data Analyst | Machine Learning | Dashboard | Web/Twitter Scraping,Indonesia
Mohammed Mahbubur Rob M.,"$30.00
/hr",GIS & Remote Sensing Expert I Autocad Expert I Data Analyst,Bangladesh
Amit C.,"$30.00
/hr",Investment Banking Analyst,India
Jason B.,"$10.00
/hr",Service Desk Analyst,United States
Yasmin M.,"$25.00
/hr",Information Security Analyst,Egypt
Ashton T.,"$40.00
/hr",Data Protection Analyst,United Kingdom
Daniel S.,"$20.00
/hr",Senior Data Analyst,Brazil
Vignesh B.,"$13.00
/hr",Senior Research Analyst,Poland
Girlie A.,"$10.00
/hr",Transcriptionist- Client Analyst,Philippines
Yemsi P.,"$6.00
/hr",GIS Expert Analyst,Venezuela
Jagvir S.,"$10.32
/hr",Sr. Business Analyst || Quality Analyst,India
Angelica H.,"$18.00
/hr",Corporate Governance Analyst,France
Kavar M.,"$25.00
/hr",Digital Marketing Analyst,United States
Michaela L.,"$25.00
/hr",Senior data analyst,United States
Helen Z.,"$30.00
/hr",Data/Business Analyst,United States
Allison W.,"$35.00
/hr",Business Administration Analyst,United States
Melanie P.,"$10.00
/hr",International Relations Analyst,Argentina
Ernierose A.,"$5.00
/hr",Real time Analyst,Philippines
Kimberly De La V.,"$5.00
/hr",Quality Assurance Analyst,Philippines
Colleen S.,"$20.00
/hr",Qualitative Data Analyst,Guatemala
Marta F.,"$10.00
/hr",Expert financial analyst,Ukraine
Amit C.,"$30.00
/hr",Investment Banking Analyst,India
Ashton T.,"$40.00
/hr",Data Protection Analyst,United Kingdom
Girlie A.,"$10.00
/hr",Transcriptionist- Client Analyst,Philippines
Angelica H.,"$18.00
/hr",Corporate Governance Analyst,France
Kavar M.,"$25.00
/hr",Digital Marketing Analyst,United States
Colleen S.,"$20.00
/hr",Qualitative Data Analyst,Guatemala
Rosalyn P.,"$5.00
/hr","Teacher, Marketing Manager, Lead Generation Specialist, Planner",Philippines
Simeon T.,"$7.00
/hr",Data entry and Web Researcher Specialist,Macedonia
Holly S.,"$50.00
/hr",B2B Lead Gen Expert,United States
Ansub T.,"$6.00
/hr",Lead Generation Expert |Virtual Assistant | Web Researcher| Data Entry,Pakistan
Kayden N.,"$75.00
/hr",Data Science and Analytics Expert,United States
Theodoros P.,"$60.00
/hr","Power BI, Crystal Reports and Excel Developer",Greece
Lorand K.,"$75.00
/hr",Certified Data Analytics Expert | Power BI | Azure | Go Cloud Today,Hungary
Dave Darryl T.,"$8.00
/hr",GoHighLevel (GHL) Admin | Facebook Ad Manager | Data Analyst,Philippines
Ivan K.,"$28.00
/hr",Market Research - Data Analyst - SEO Consultant,Argentina
Russel James A.,"$5.00
/hr",Research Analyst | Data Researcher | Graphic Designer,Philippines
Hassan S.,"$25.00
/hr","Data Engineer, Data Analyst, Python Programming & Automation",Bermuda
Julius I.,"$30.00
/hr",Research Analyst| Web Researcher| Data Specialist| Survey Programmer,Nigeria
Natalie M.,"$8.50
/hr","Data Analyst, Excel Guru and Customer Service Specialist",Philippines
Marko L.,"$30.00
/hr",Expert Data Analyst with Tableau and Excel experience,Serbia
Maria Elizabeth P.,"$8.00
/hr",Expert Data-entry/Data-analyst/VA/Telemarketer/Researcher,Philippines
Aimae M.,"$20.00
/hr",Operations Researcher/ DE Specialist/ Technical Writer/ Data Analyst,Philippines
Liza C.,"$10.00
/hr","Data Analyst, Market Research and Lead Generation Expert",Philippines
Adnan A.,"$4.50
/hr",Data Contributor/Research Analyst/Data miner/Virtual Assistant,Pakistan
Paula Gracia S.,"$6.00
/hr",data entry/data analyst/web researcher/administrative support,Philippines
Andre B.,"$15.00
/hr","Business Administration Specialist, Web Researcher & Data Analyst",Jamaica
Carmelo P.,"$4.44
/hr","Data Entry, Internet Research and Data Quality Analyst",Philippines
Darko T.,"$20.00
/hr","Content Writer/Editor, Publisher, Web Researcher, Data Analyst",Macedonia
Krisha Hyacinth A.,"$9.00
/hr","LinkedIn Lead Generation Specialist, QA Analyst, Virtual Assistant",Philippines
Nataliia Al Z.,"$25.00
/hr","Personal Assistant, Data analyst, HRM, English Tutor, Researches",Ukraine
Elvis Koku T.,"$15.00
/hr",Data analyst/Engineer/English-Spanish Translator/EFL Instructor,Mexico
Anshio S.,"$7.00
/hr",Data Analyst & Tamil Translator & Electrical Engineer,Oman
Anand G.,"$10.00
/hr",Full Stack Developer/Data Analyst/Scraper in Python,Nepal
Nova G.,"$8.00
/hr",Web Researcher / Content Moderator / Analyst / Leads Generation Expert,Philippines
Daniel M.,"$40.00
/hr",Big Data Analyst| Machine Learning Engineer| Data Engineer,Kenya
Rasell R.,"$10.00
/hr",Data Analyst / Tableau Reports Developer /Bookkeeper /Admin Assistant,Philippines
Ronn Angelo P.,"$4.50
/hr",Document Control Analyst / SEO Specialist / Social Media Specialist,Philippines
Tasmia R.,"$25.00
/hr",Data Scientist | Python Developer | Data Analyst,Pakistan
Lea Alessandra R.,"$7.00
/hr",Data Analyst|Virtual Assistant|Web Researcher|Instagram Management,Philippines
Lea Alessandra R.,"$7.00
/hr",Data Analyst|Virtual Assistant|Web Researcher|Instagram Management,Philippines
Sona K.,"$15.00
/hr",Data scientist | Data Engineer | Data Analyst,Armenia
Nabina P.,"$5.00
/hr","Data analyst, Data entry and excel expert, Writer",Nepal
Monika F.,"$12.00
/hr",Analyst/ Account Manager/ Google Adwords & Analytics Specialist,United Arab Emirates
Khushal S.,"$50.00
/hr",Business Intelligence | Power BI | Advanced DAX | Power Query,India
Kirk G.,"$65.00
/hr",Linguist/Data Analyst,United States
Geoff B.,"$75.00
/hr",Data Engineer/Analyst,United States
Chris K.,"$45.00
/hr",Freelance Data Analyst,United States
Katarina M.,"$60.00
/hr",Data Analyst/Scientist,France
Ahmed S.,"$50.00
/hr",Geospatial Data Analyst,Germany
Kyle Chester D.,"$8.00
/hr",Analyst,Philippines
Rafael C.,"$19.00
/hr",Administrative Support - Data Analyst,Brazil
Oleksandr T.,"$20.00
/hr",Blockchain and cryptocurrency analyst/trader,Ukraine
Christian Delos S.,"$5.75
/hr",Data Entry / Data Quality Analyst,Philippines
Isaac C.,"$12.00
/hr",Data Entry / Data Analyst Consultant,United States
Junaid A.,"$10.00
/hr",Data Analyst | Power BI,Pakistan
Minhui H.,"$25.00
/hr",Web Administrator & Data Analyst,United States
Raja S.,"$3.75
/hr",Data Analyst with Accounting experience,India
Tyler N.,"$20.00
/hr",Project Engineer & Data Analyst,United States
Stefanija K.,"$5.00
/hr","Marketing, Reasercher and Data Analyst",Macedonia
ilona m.,"$26.00
/hr",Senior Researcher. Economist.Quantitative Analyst.,Philippines
Helen M.,"$7.50
/hr",Extraordinary Virtual Assistant / Data Analyst,Philippines
Gio Carl P.,"$8.00
/hr",Customer Support | Fraud Analyst,Philippines
Kowshika N.,"$8.00
/hr",Expert Web Researcher | DA Specialist,India
Abbie T.,"$5.00
/hr",Data Entry,Philippines
Syd Iggi C.,"$8.89
/hr",Experienced Real Estate Representative and Data Analyst,Philippines
Benjamin C.,"$65.00
/hr","Excel Wizard, Transforming Workforce Management & Operations Analytics",United States
Benny S.,"$35.00
/hr",Data Scientist & Analyst | AWS Cloud | Web Designer | Deep Learning,Chile
Natanael D.,"$17.00
/hr",Data Analyst at HupData | Data Science | Big Data| Machine Learning,Brazil
David P.,"$120.00
/hr","ENTREPRENEUR-Insight Finder, Excel Guru, DOMO Aficionado, Tableau HERO",United States
Zishan A.,"$5.00
/hr",Data entry and analytics,India
Alessandro P.,"$40.00
/hr",Data Engineer | Data Analyst | BI & DWH | AWS | Python | ETL | Excel,Italy
Adnan K.,"$70.00
/hr","BI Consultant| Google Data Studio, Power Bi, Tableau, GA, GTM Expert",Canada
Darshak A.,"$10.00
/hr",Data Entry Assistant | Web Research | Lead Generation | VA,India
Vishal M.,"$10.00
/hr",Programmer & Data Analyst | Tax Delinquent Expert TRW,Mauritius
Varun G.,"$10.00
/hr","Data Analyst, Excel Specialist, Data Entry, MIS & Automation",India
Alexander L.,"$7.00
/hr","Data Analyst, Data Cleaning, Data Mining, Researcher, QA, Supervisor",Philippines
Jwency R.,"$15.00
/hr",Accountant | Bookkeeper | Finance Analyst | XERO Certified,Philippines
Hisham B.,"$40.00
/hr",Business/Marketing/Data Analyst with 2+ years of experience,India
Achilles Jr R.,"$8.00
/hr",Industrial Engineer/Data Analyst/Web Researcher/Data Entry Specialist,Philippines
Joshua James B.,"$6.25
/hr",Web Analyst/Moderator/Professional Web Researcher/Data entry / VA,Philippines
Joyce Lynne S.,"$6.00
/hr",Data Analyst/Data Entry/Web Researcher/Customer Service Assistant,Philippines
Stacy Kate P. S.,"$10.00
/hr",Lead Generation/E-commerce/Sourcing Analyst/Research/Real Estate,Philippines
Ana Maria Y.,"$6.00
/hr",Data Analyst/Web Researcher/E-Commerce/Shopify/Lead Generator,Philippines
Laleth F.,"$8.00
/hr",General VA/CSR/DataEntry Specialist/ReportingAnalyst/Gamer,Philippines
Kleman S.,"$45.00
/hr",Data Scientist | Data Analyst | Data Visualization Developer,Philippines
Makis K.,"$25.00
/hr",R / Shiny App Developer / Data Analyst / PhD Candidate,Greece
Kate S.,"$7.00
/hr",VA/Customer Insights Analyst/Editor/Admin Support/Freelancer/CSR,Philippines
Covie T.,"$5.00
/hr",Title Examiner/Document Analyst/ Web Research and Data Entry,Philippines
Marc B.,"$16.00
/hr",Wholesale Payments Summer Analyst at JPMorgan Chase & Co.,United States
Michael P.,"$75.00
/hr","Credentialed P&C Actuary (FCAS), Financial Analyst, Data Scientist",United States
Erwin H.,"$50.00
/hr",Dissertation Coach/Helper/Data Analyst,United States
Mark S.,"$60.00
/hr",Automation Expert | Business Analyst,Russia
Andrew F.,"$175.00
/hr",Attorney and Expert Excel Analyst,United States
Henry B.,"$60.00
/hr",Data Analyst and Curriculum Designer,United States
Suzanne W.,"$50.00
/hr","GIS Specialist, Geospatial Analyst, Cartographer",United States
Cooper M.,"$55.00
/hr",Data Analyst and Excel Expert,United States
Shaun A.,"$50.00
/hr",GIS Developer & Spatial Analyst,Canada
Maria R.,"$80.00
/hr",Financial Analyst / Excel / VBA programming,United States
Joshua E.,"$45.00
/hr",GIS Analyst and Urban Planner,United States
Varun G.,"$10.00
/hr","Data Analyst, Excel Specialist, Data Entry, MIS & Automation",India
Jwency R.,"$15.00
/hr",Accountant | Bookkeeper | Finance Analyst | XERO Certified,Philippines
Hisham B.,"$40.00
/hr",Business/Marketing/Data Analyst with 2+ years of experience,India
Achilles Jr R.,"$8.00
/hr",Industrial Engineer/Data Analyst/Web Researcher/Data Entry Specialist,Philippines
Ana Maria Y.,"$6.00
/hr",Data Analyst/Web Researcher/E-Commerce/Shopify/Lead Generator,Philippines
Laleth F.,"$8.00
/hr",General VA/CSR/DataEntry Specialist/ReportingAnalyst/Gamer,Philippines
Makis K.,"$25.00
/hr",R / Shiny App Developer / Data Analyst / PhD Candidate,Greece
Covie T.,"$5.00
/hr",Title Examiner/Document Analyst/ Web Research and Data Entry,Philippines
Marc B.,"$16.00
/hr",Wholesale Payments Summer Analyst at JPMorgan Chase & Co.,United States
Andrew F.,"$175.00
/hr",Attorney and Expert Excel Analyst,United States
John Emil R.,"$3.00
/hr","Research Associate, Data Analyst, Admin Support, Web research",Philippines
Ma. Jennel Dimarucut L.,"$5.00
/hr",Amazon-Ebay Listing Products/Data Analyst/Internet Research,Philippines
Kunal A.,"$3.00
/hr",Data Analyst/ Business Analyst,India
Monil S.,"$9.00
/hr",Underwriter | Loan Processor | Title Analyst | Title Abstractor,India
John Paul Emmanuel D.,"$8.00
/hr","Reports/Data Analyst,Sales & Marketing and Leads Generation Specialist",Philippines
Ryan A.,"$30.00
/hr","Business Intelligence Analyst - Power Bi, Excel, Python, VBA, Tableau",United States
Diego G.,"$20.00
/hr","Data Analyst specialized in Python, Machine Learning & Power Bi",Czech Republic
Ramit S.,"$10.00
/hr",Financial Analyst | Researcher | Investment Banking | M&A,India
Katherine R.,"$8.00
/hr",Highly Skilled Data-Entry | VA Specialist | QA Analyst,Philippines
Nancy G.,"$10.00
/hr",Lead Researcher/Data Entry/Web Research/Data Analyst/Lead Generation,Philippines
Nancy G.,"$10.00
/hr",Lead Researcher/Data Entry/Web Research/Data Analyst/Lead Generation,Philippines
Mikhail Carlo G.,"$4.00
/hr","Data analyst, Web Researcher, Spread Sheet Guru, Amazon FBA VA",Philippines
Chris E.,"$80.00
/hr",Interactive Maps | GIS Analyst | Cartographer | Data Scientist,United States
Marc M.,"$7.00
/hr",eCommerce Manager | Data Analyst | Customer Satisfaction Expert,Philippines
Nouman I.,"$10.00
/hr","GIS Analyst,Expert in (Google Earth Studio, Google Earth/Map)",Pakistan
Matthew M.,"$30.00
/hr",Research & Data Analyst | CX Consulting | Qualtrics Guru,Canada
Renato V.,"$5.00
/hr",Data Entry Expert/Online Researching/Virtual Assistant,Philippines
Chunyi W.,"$55.00
/hr","Ph.D. Statistician, Epidemiologist, SAS certified, SPSS, R studio, NIS",United States
Cory W.,"$40.00
/hr",Data Analyst with focus on Gambling Industry,United States
Siamak F.,"$25.00
/hr",Data Analyst and Data Visualization Expert,Canada
Katrine Mae H.,"$7.00
/hr",Data Analyst and Data Entry Professional,Philippines
Nestor Baco J.,"$10.00
/hr",Quality Assurance Analyst / Food Safety Expert,Philippines
Martin T.,"$10.00
/hr","GIS Data Expert & Analyst, Cartographer",Macedonia
Chunyi W.,"$55.00
/hr","Ph.D. Statistician, Epidemiologist, SAS certified, SPSS, R studio, NIS",United States
Cory W.,"$40.00
/hr",Data Analyst with focus on Gambling Industry,United States
Siamak F.,"$25.00
/hr",Data Analyst and Data Visualization Expert,Canada
Nandintsetseg D.,"$20.00
/hr",Experienced Data visualizer and Business analyst,Mongolia
Mary Grace A.,"$6.00
/hr",Data Analyst / Researcher / VA / SEO Specialist,Philippines
Maria Cecilia O.,"$4.00
/hr","Data Analyst, Web Researcher, QA Support",Philippines
Yasir M.,"$21.00
/hr","Developer, Data Analyst, Consultant & Researcher",Pakistan
Roi H.,"$45.00
/hr",Data Analyst | Hebrew Language Expert,Germany
Mariver Anna L.,"$10.00
/hr",Your one-stop Shopify Support l Quality Review Analyst l SOP Developer,Philippines
Chunyi W.,"$55.00
/hr","Ph.D. Statistician, Epidemiologist, SAS certified, SPSS, R studio, NIS",United States
Cory W.,"$40.00
/hr",Data Analyst with focus on Gambling Industry,United States
Julian Carlo V.,"$20.00
/hr",Operations Manager | Nutrition Analyst | Recipe Analyst,Philippines
Marianne A.,"$7.00
/hr",Customer Service Quality Analyst,Philippines
Sergiy I.,"$21.00
/hr",Data Engineer / Business Analyst,Ukraine
Lorraine J.,"$40.00
/hr",Analyst with Financial Expertise,United States
Fernando D.,"$15.00
/hr",Tech-Savy Marketing Analyst,Indonesia
Maria Theresa S. L.,"$7.00
/hr",IT Professional-Security Analyst-VA with 8 yrs working Experience,Philippines
Janie K.,"$50.00
/hr",Data Analyst and Graphic Designer with a passion for customer service,United States
Ana Liza P.,"$8.00
/hr",BPO/Data Analyst/Magento Expert/Web Researcher/Real EstateVA/Wordpress,Philippines
Dexter A.,"$5.00
/hr",Marketplace Trust and Safety/Fraud Analyst/Web researcher & Data entry,Philippines
Ruben L.,"$12.50
/hr",Expert Web Researcher | Versatile VA | Research & Data Analyst,Philippines
A.A.K. H.,"$6.00
/hr",Data Encoder | Data Analyst | Web Researcher | Virtual Assistant,Bangladesh
Vineet K.,"$25.00
/hr","Data Analyst and Viz Expert (Tableau, Qlik, Power BI, Domo, Klipfolio)",India
Syamraj K.,"$10.00
/hr",Customer & Techn. Support Manager | QA Analyst| Client Management Pro.,India
Ahsan S.,"$11.00
/hr",Web & Market Research Specialist | Data Analyst | Admin Support,Pakistan
Julio Cesar Rodriguez La T.,"$35.00
/hr",Data Analyst | Data Entry | Virtual Assistant | Amazon Expert,Peru
Ionut N.,"$12.50
/hr",Quality Assurance Analyst | Junior SysAdmin | Data Entry Expert,Romania
Daniel I.,"$12.00
/hr",Six Sigma |Data Analyst|POWERBI|Excel VBA|Amazon|ebay|Noon Expert,India
Priya A.,"$12.00
/hr",Indian CPA | Bookkeeping | Financial Analyst | QBO | NetSuite,India
Rajan K.,"$30.00
/hr","Top Rated Plus Data Analyst Expert : Power BI ,Power Automate, Azure",India
Abdellah E.,"$12.00
/hr",*TOP RATED* Virtual Assistant / Research Analyst / Social Media expert,Morocco
Rogie T.,"$8.00
/hr",Data Analyst / Facebook Ads / Google Ads Specialist / Google Analytics,Philippines
Christine J.,"$4.50
/hr","Quality Assurance Analyst with CSR, sales and collections experience",Philippines
Miss S.,"$5.00
/hr",Microsoft Office Applications | Data Analyst | Data Entry,India
Serik B.,"$7.50
/hr",Business analyst,Kazakhstan
Ryan B.,"$25.00
/hr",Computer Analyst,Philippines
Timothy E.,"$15.00
/hr",Research Analyst,Ukraine
Abraham B.,"$75.00
/hr",Senior Database Resource with 30+ Years Experience,United States
Maxim Ryan S.,"$10.00
/hr",Helpdesk Analyst,Philippines
Robert W.,"$30.00
/hr",What does your data say? I can help you answer that question.,United States
Ipsita M.,"$5.00
/hr",DATA Analyst/Virtual Assistant,India
Roman I.,"$28.00
/hr",Software Developer / Data Analyst,Poland
Victor D.,"$100.00
/hr","Expert in excel, SQL, GA, Flurry, Fabric, FB Analytics, Google Play..",Israel
Jacquilyn M.,"$4.00
/hr",Programmer,Philippines
Ashley P.,"$25.00
/hr",Sr Business Analyst at Royal Caribbean Cruises Ltd.,United States
