name,hourly rate,title,location
Juan Rafael F.,"$25.00
/hr",Senior Data Analyst | BI Analyst | Excel Wizard,Canada
Eliazer Jr M.,"$10.00
/hr",Data Analyst/ Data QA/ Data Science/Machine Learning,Philippines
Elene M.,"$10.00
/hr",Microsoft Excel Expert | Business Reporting | Certified Six Sigma,Georgia
Polina J.,"$25.00
/hr",Excel Data Analyst,Bulgaria
Jemyr Vincent C.,"$5.00
/hr",Data Entry Analyst,Philippines
Rubina A.,"$12.00
/hr",Modern Data Analyst,Georgia
Maria Elisa B.,"$60.00
/hr",Data Scientist - Data Analyst - R programming,Uruguay
Sherwin L.,"$3.26
/hr",Data Analyst,Philippines
Luke G.,"$55.00
/hr",Data Analyst,United States
Khairulanwar Abdul J.,"$17.50
/hr",GIS Analyst,Malaysia
Oluwafunmilayo S.,"$30.00
/hr",Data Analyst,Nigeria
Lina E.,"$20.00
/hr",Data Analyst,Colombia
Danielle Joanna Bianca D.,"$6.00
/hr",Content Analyst,Philippines
Nikita Z.,"$20.00
/hr",Data Analyst,Israel
Romar Joshua C.,"$15.00
/hr",Data Analyst,Philippines
Khaladi H.,"$6.00
/hr",Data Analyst,Tunisia
Dejan D.,"$25.00
/hr",Data analyst,Serbia
Mark Christian T.,"$5.00
/hr",data analyst,Philippines
Rafael A.,"$15.00
/hr",Reports Analyst,Philippines
Marvincent P.,"$7.00
/hr",Data Analyst,Philippines
Artirm A.,"$30.00
/hr",Data Analyst,Russia
Emma Z.,"$5.00
/hr",Research Analyst,Philippines
Danylo A.,"$35.00
/hr",Data Analyst,Ukraine
Faith O.,"$6.00
/hr",Data Analyst,Kenya
Robert R.,"$35.00
/hr",Data Analyst,Antigua and Barbuda
Jana C.,"$25.00
/hr",Data Analyst and Web Developer,Philippines
Zoltan S.,"$12.00
/hr",Data Scientist/Data Analyst Specialist,Hungary
Leanne V.,"$45.00
/hr","BI Data Analyst (Tableau, Power BI, Google Data Studio)",South Africa
Jeffrey C.,"$49.00
/hr",Expert Data Analyst specializing in Excel Modeling and VBA,United States
Kunsa S.,"$6.00
/hr","Expert Data Clerk and Analyst, Well Rounded Social Media Manager",Uganda
Rizwan H.,"$50.00
/hr",Data Engineer/Scientist | Machine Learning Engineer | Data Analyst,Pakistan
Katherine S.,"$100.00
/hr",Business Consultant and Data Analyst,United States
Ian Z.,"$22.00
/hr",Data Scientist/Analyst,Honduras
Pradeep T.,"$10.00
/hr",Data Analyst - Scientist and Visualizer | Power BI | Tableau,India
Mayank M.,"$50.00
/hr",Data Scientist | Business Analyst | Web Analytics | Reporting | CRO,India
Ramon Alberto V.,"$12.00
/hr",Data analyst and dashboard generation specialist,Philippines
Kinza S.,"$4.00
/hr","Data Entry, Data Analyst, Virtual Assistance",United Kingdom
Winny M.,"$10.00
/hr",Data Entry Specialist | Accounting Analyst,Philippines
Pradeep T.,"$10.00
/hr",Data Analyst - Scientist and Visualizer | Power BI | Tableau,India
Adit P.,"$25.00
/hr",SharePoint Developer | Power BI developer,India
Sergey V.,"$40.00
/hr",Data Analyst | BI consultant | Google Data Studio | BigQuery,Bulgaria
Tim P.,"$39.00
/hr",Reporting Data Analyst,Singapore
Dannelly R.,"$150.00
/hr",Financial Planning | Business Analyst | Microsoft Power BI Coach,United States
Hai Chau L.,"$60.00
/hr",Data Scientist/Data Analyst/Quantitative Researcher,Australia
Dmitry N.,"$25.00
/hr","Data analyst (SQL, VBA, Web scraping)",Ukraine
Muhammad Ovais J.,"$40.00
/hr",Data & Business Analyst | Power Bi Consultant | Data Visualization,Pakistan
Junarka C.,"$20.00
/hr",Internet Analyst,United States
Cristine B.,"$4.00
/hr",Data mining/Data entry,Philippines
Hasan A.,"$50.00
/hr",Economist/Data Analyst/Econometrican/Economics Tutor,Bangladesh
Murtaza Kamal P.,"$40.00
/hr",Expert Data Analyst with BI experience,Bangladesh
Terry P.,"$50.00
/hr","Data Migration, Business Analyst, App Development",New Zealand
Anthony I.,"$50.00
/hr",Actuarial Analyst,United States
Josh M.,"$65.00
/hr",Data Analyst,United States
Joe B.,"$40.00
/hr",SEO Analyst,United States
Marcelo Gazzola R.,"$45.00
/hr",Data Analyst,United Kingdom
Alexander S.,"$45.00
/hr",Stat analyst,Russia
Giancarlo S.,"$50.00
/hr",Data Analyst,United States
Michael C.,"$30.00
/hr",Business Intelligence (Data) Analyst,Kenya
